Run #,Spectral Temp,Sum Counts,Livetimes,Coeff A,Coeff B,Coeff C,Coeff D
Run1,26.323905042635076,22.091098330683476,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run10,21.16383254680637,25.3925147564358,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run11,14.603225143653988,3.1886549640039186,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run12,15.25589149166645,8.014812779294388,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run13,22.370056855957714,24.19801824905245,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run14,19.973573742574445,17.426483311110225,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run15,19.095281742184614,13.72405599808856,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run16,17.616735607498182,14.017658536756151,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run17,21.889344196087634,32.38825126334456,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run18,22.912826696880444,10.458091124296507,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run19,10.342067089899071,3.4661991153888216,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run2,13.504894517148603,9.087297696070959,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run20,10.537039587458631,3.569632973982092,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run21,9.725250602034016,3.3578218683238084,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run22,30.464897526185823,38.547641729058796,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run23,26.28875661972281,17.878186686955825,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run24,27.10512073917743,16.747086189925565,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run25,30.17975275572696,39.06637977617742,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run26,29.077708761252314,22.035170886837257,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run27,25.509045648490634,26.750637055686603,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run3,10.378633071339973,3.187277865817359,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run4,10.569985690204721,7.10385061131843,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run5,16.652603561579102,13.878402908730427,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run6,23.63990085125112,21.20105973007192,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run7,17.71671061786908,13.858850855981855,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run8,20.95195804777892,6.850737029801082,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
Run9,22.08145098937797,16.577796860401797,60.0,1.7778896868735157,-0.016348752930314084,5.2604869386530106e-05,-5.623965800395695e-08
