Date,comments,Time,Inj (A),Extr (A),Cent (A),Sext (A),JYB Bmin (T),JYB Ts,Inj (T),Extr (T),Cent (T),Sext (T),Inj Pres (-7),O balzer,Extr HV,Extr I,Puller HV,Puller I,Bias V,Bias I,28 GHz,18 GHz,14 GHz,18 GHz refl,CSD,MCA (gain 10) Run # (90 sec),Total Counts,Livetime,O6+ I (uA),Ts range,Ts,Sum of counts,Run #,Spectral Temp,Error,Sum Counts,Livetimes,Coeff A,Coeff B,Coeff C,Coeff D
10/13/25,replica of 7/16/15 and 2/3/16,3:52 PM,122,105,102,270,0.296,43.79015017,2.23,1.44,0.35,1.29,3.89,7.52,12.5,2.75,2,0.229,74,1.97,0,1012,,6,15:58:05,1,1298.0,300.0,,16.38,13.42771,,Run01,36.10351983414158,2.915319250423924,2.306673228190337,300.0,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
10/13/25,"assume taken at 1000 W, not sure",4:00 PM,122,105,98,270,0.324,46.56380103,2.24,1.45,0.37,1.29,3.82,7.53,12.5,2.9,2,0.196,74,2.35,0,1015,,6,16:06:45,2,1824.0,300.0,,,12.551039,,Run02,32.24137278473461,2.357919077267882,3.6485418027436514,300.0,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
10/13/25,,4:07 PM,122,105,94,270,0.351,55.04353313,2.25,1.47,0.4,1.29,3.88,7.53,12.5,2.85,2,0.175,74,2.4,0,1012,,6,16:13:38,3,2197.0,300.0,,,12.110669,,Run03,29.695920249024013,1.8323294277570004,4.851507597962596,300.0,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
10/13/25,,4:15:52 PM,122,105,88,270,0.393,61.61790069,2.25,1.48,0.44,1.29,4.0,7.53,12.5,2.9,2,0.18,74,2.6,0,1013,,6,16:20:53,4,2948.0,301.99,,,13.124922,,Run04,30.433302777097907,1.9754604339742672,7.052675055399675,301.989,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
10/13/25,,4:27:32 PM,122,105,120,270,0.17,27.16720912,2.2,1.4,0.23,1.29,3.92,7.52,12.5,2.6,2,0.178,74,1.31,0,1008,,6,16:31:27,5,174.0,240.0,,9.0307,,,Run05,135.98447279243493,24.742481591578564,0.3238487223226874,240.0,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
10/13/25,,4:33:43 PM,122,105,125,270,0.138,26.89998126,2.19,1.39,0.2,1.29,4.25,7.53,12.5,1.33,2,0.127,74,0.94,0,1011,,6,16:37:53,6,135.0,240.0,,8.9039,,,Run06,158.79636037524614,35.350256254677205,0.3368556796978857,240.0,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
10/13/25,replica of 11/2/15,4:47:27 PM,124,108,110,270,0.332,34.20653443,2.27,1.47,0.32,1.29,3.63,7.53,12.5,2.7,2,0.19,74,1.72,0,983,,6,16:51:33,7,505.0,240.0,,,,,Run07,90.20292240125116,16.465366404524733,0.8339247995569921,240.0,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
10/13/25,all done at 1000 W,4:51:53 PM,122,105,102,270,0.296,38.51771198,2.23,1.44,0.35,1.29,3.43,7.53,12.5,3.05,2,0.24,74,1.94,0,988,,5,17:04:41,8,918.0,240.0,,,,,Run08,36.97843557688168,3.0616552283292537,2.03230630997702,240.0,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
10/13/25,,5:07:37 PM,120,103,105,270,0.258,31.18312307,2.17,1.39,0.3,1.29,3.3,7.52,12.5,3.64,2,0.316,74,2.28,0,986,,6,17:11:42,9,497.0,240.0,,,,,Run09,116.94043248503996,27.3007577624089,0.7708976359637627,240.0,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
10/13/25,repeated after changing settings to match Janilee's. venus is same as run09,5:15 PM,120,103,105,270,0.258,31.18312307,2.17,1.39,0.3,1.29,3.3,7.52,12.5,3.64,2,0.316,74,2.28,0,986,,6,,10,,,,,,,Run10,89.50582309007055,20.742906956519896,2.1572899455782046,299.445939,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
10/13/25,replica of 1/13/16,5:32:52 PM,122,105,102,275,,,2.23,1.44,0.35,1.31,3.54,7.52,12.5,2.7,2,0.205,74,1.9,0,991,,6,17:32:02,11,1080.0,242.27,,,,,Run11,151.17666241812236,64.1215565177358,5.26185642958545,242.266,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
10/13/25,,5:51:46 PM,122,105,102,301,,,2.23,1.44,0.35,1.44,3.52,7.52,12.5,2.75,2,0.22,74,1.88,0,992,,6,18:00:26,12,2384.0,510.27,,,,,Run12,203.92397695539128,76.05293078627044,5.175180140991943,510.269,1.7778896868735157,-0.016348752930314,5.2604869386530106e-05,-5.623965800395696e-08
